"ID","XCOO","YCOO","ELEV","COUN","ASP","LOWDB","LITO","GENLAN","Ag","Al","Al_XRF","Al2O3","As","Au","B","Ba","Be","Bi","Br_IC","Ca","Ca_XRF","CaO","Cd","Cl_IC","Co","Cr","Cu","EC","F_IC","Fe","Fe_XRF","Fe2O3","Hg","K","K_XRF","K2O","La","Li","LOI","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Na","Na_XRF","Na2O","Ni","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","S","Sb","Sc","Se","Si","Si_XRF","SiO2","SO4_IC","Sr","Te","Th","Ti","Ti_XRF","TiO2","V","Y","Zn"
12,718237,7620000,180,"RUS","NW",10,20,"RIDGE",0.038,26800,73600,15.76,0.47,0.397,1.5,66.6,0.36,0.019,0.001,3920,31500,4.41,0.017,0.005551,9.4,76.2,14.9,0.79,0.0005,34600,51500,7.37,0.03,1050,9200,1.11,11.4,12.1,8.97,5940,17000,2.82,139,540,0.07,0.1,410,23200,3.14,43.1,0.0005,775,820,0.19,2.17,1.124,5.4,0.002,0.974,418,0.005,4.9,0.226,113,257300,55.07,22.924,14.3,0.006,5,1370,4310,0.72,62.2,5.2,47.6
13,427280,7490000,240,"FIN","SW",17,7,"PLAIN",0.044,17300,53700,11.49,5.25,0.853,1.5,17.8,0.42,0.035,0.001,1320,14500,2.03,0.043,0.005742,8.5,46.6,14.2,1.03,0.0005,29200,35500,5.09,0.03,360,14200,1.72,7.6,6.6,8.88,3290,8200,1.36,185,380,0.05,0.5,70,19800,2.67,20.5,0.003194,604,560,0.13,2.9,0.768,5.9,0.002,1.066,149,0.041,2.7,0.209,209,307700,65.84,7.175,5.8,0.007,5,881,3650,0.61,58.9,3.4,25.5
16,597300,7700000,100,"NOR","NW",24,52,"RIDGE",0.011,10600,64500,13.8,0.55,0.809,1.5,19.1,0.13,0.031,0.001,1460,24800,3.47,0.016,0.004454,3.9,13.9,9.9,0.54,0.0005,11400,33800,4.84,0.03,600,10200,1.23,5.4,6.1,3.66,2410,10600,1.77,148,610,0.08,0.1,120,23400,3.16,7.1,0.001092,367,340,0.08,2.84,1.035,5,0.002,0.612,79,0.005,1.7,0.081,143,310000,66.34,8.941,4.4,0.004,1.5,620,2570,0.43,23.2,1.9,20.7
17,667085,7680000,170,"RUS","FLAT",19,21,"RIDGE",0.022,20800,65800,14.09,1.39,0.632,1.5,18.3,0.26,0.046,0.001,1890,24000,3.36,0.021,0.003736,3.8,26.8,7.9,0.7,0.0005,20500,39600,5.67,0.03,250,9500,1.15,8.2,3.8,7.03,1690,10600,1.76,84.2,540,0.07,0.1,200,20900,2.83,7.8,0.001617,412,390,0.09,3,1.082,5.3,0.002,0.25,220,0.005,3.2,0.232,173,292300,62.55,18.928,5.7,0.0015,4,963,3830,0.64,42,4.2,16.6
18,594611,7550000,280,"FIN","N",27,1,"PLAIN",0.029,21600,61500,13.17,0.58,0.416,1.5,75.1,0.21,0.038,0.001,890,22400,3.14,0.019,0.002286,14.6,89.6,21.7,0.46,0.0005,30700,43500,6.22,0.03,1810,5000,0.61,8.6,9.7,4.87,6400,17800,2.96,170,540,0.07,0.1,90,23300,3.15,35.6,0.0005,496,340,0.08,4.68,0.684,5.3,0.002,0.25,96,0.005,2.2,0.199,168,304400,65.13,5.577,6,0.016,6,1160,3110,0.52,49,1.8,49.4
19,514744,7580000,280,"FIN","S",17,31,"PLAIN",0.03,21700,69800,14.94,1.73,1.154,1.5,86,0.14,0.032,0.001,200,5000,0.71,0.023,0.003079,7.1,31.7,22.8,0.56,0.0005,31500,52800,7.56,0.03,1730,17800,2.15,17.2,5.7,5.2,3720,10800,1.8,91.3,460,0.06,0.6,60,5600,0.76,27.5,0.0005,186,210,0.05,5.68,0.646,5.2,0.002,0.25,113,0.005,3.5,0.174,178,307200,65.73,8.6,2.8,0.028,11,835,4370,0.73,47.6,3.8,48.9
20,710133,7570000,210,"RUS","SE",18,1,"RIDGE",0.047,33500,70000,14.99,0.51,0.32,1.5,47.7,0.45,0.058,0.001,1980,23000,3.23,0.029,0.007527,10.7,43.5,35.6,0.74,0.0005,39600,54000,7.73,0.03,1730,11900,1.44,14,16.4,10.25,4640,11900,1.98,296,690,0.09,0.1,240,20200,2.73,29.4,0.00207,737,690,0.16,4.6,0.77,5.4,0.002,0.25,275,0.005,4.1,0.343,186,265000,56.71,8.759,5.1,0.023,9,2040,4550,0.76,68.5,4.3,72.3
21,439900,7650000,280,"NOR","W",13,1,"FLAT",0.017,23300,67300,14.4,0.69,0.41,1.5,43.3,0.32,0.029,0.001,2550,31800,4.46,0.023,0.004737,7.2,70.5,15,0.69,0.0005,30500,53800,7.7,0.03,490,9100,1.1,14,6.2,7.96,4490,20300,3.37,95.5,610,0.08,0.1,230,23800,3.22,25.3,0.001078,1030,910,0.21,4.38,0.972,5.4,0.002,0.829,159,0.011,3.5,0.189,144,259500,55.52,7.362,14.2,0.009,6,1340,4910,0.82,68.5,3,20.3
22,734135,7670000,100,"RUS","FLAT",19,21,"PLAIN",0.039,23900,67200,14.38,0.6,0.173,1.5,63.6,0.51,0.061,0.001,2700,25100,3.52,0.023,0.00604,7.3,60.2,8.1,0.91,0.0005,40000,53500,7.65,0.03,840,11100,1.34,10.4,10.9,10.06,4080,12500,2.08,194,610,0.08,0.2,240,22400,3.03,19.8,0.00262,2170,2000,0.46,5.96,0.733,5.5,0.002,1.55,195,0.005,3.9,0.224,220,258700,55.37,11.057,13.5,0.011,8,1500,4550,0.76,75.1,4.3,47.1
23,787098,7500000,140,"RUS","FLAT",22,1,"RIDGE",0.051,10200,62500,13.39,0.89,0.434,1.5,41.3,0.3,0.03,0.001,1870,23100,3.24,0.043,0.003209,5.8,32.6,11.8,0.88,0.0005,24200,40400,5.78,0.03,530,17100,2.07,7.4,6.1,4.32,3350,11200,1.86,113,610,0.08,0.5,210,25900,3.5,19.9,0.002669,208,210,0.05,3.68,1.076,5.3,0.002,1.338,121,0.013,1.7,0.109,132,303000,64.83,13.843,47.4,0.008,6,1330,3650,0.61,39.7,3.6,20.5
24,624400,7540000,160,"RUS","FLAT",30,51,"PLAIN",0.016,13700,63000,13.49,0.61,0.609,1.5,19.6,0.21,0.073,0.001,940,20000,2.81,0.027,0.002307,4.5,28.8,5,0.45,0.0005,12500,26900,3.85,0.03,380,12400,1.5,6.9,10.1,4.03,1850,9400,1.57,121,460,0.06,0.1,110,25100,3.39,18.8,0.0005,538,520,0.12,3.14,0.76,6.4,0.002,1.174,80,0.012,1.5,0.072,153,315500,67.52,11.927,6.9,0.005,4,581,2570,0.43,24.3,1.7,24
25,627700,7480000,280,"RUS","FLAT",22,1,"PLAIN",0.035,33100,65600,14.05,2.2,0.765,1.5,24.7,0.39,0.208,0.001,900,14800,2.08,0.025,0.003327,6.1,61.1,9.6,0.62,0.0005,21700,35700,5.11,0.09,670,7300,0.89,10.2,10.1,9.17,2720,8700,1.45,209,770,0.1,0.1,100,13700,1.86,20.2,0.001529,583,430,0.1,3.66,0.902,5.8,0.002,0.25,237,0.012,3.4,0.307,193,294300,62.98,11.429,4.2,0.014,7,674,3710,0.62,39.9,2.5,22.1
26,386646,7540000,300,"FIN","S",25,1,"PLAIN",0.033,26100,64100,13.72,2.25,0.556,1.5,30.7,0.32,0.032,0.001,3030,29800,4.18,0.02,0.006884,6,41.3,33,0.89,0.0005,44500,69000,9.87,0.07,300,11600,1.4,9.3,6.8,11.59,2790,14400,2.39,95.2,690,0.09,0.6,280,19600,2.65,12.1,0.0005,545,560,0.13,2.64,0.921,5.5,0.002,1.432,342,0.021,5,0.369,262,238700,51.07,19.2,7.5,0.012,8,1420,6650,1.11,94.5,4.3,13
27,713892,7740000,160,"RUS","SW",22,9,"PLAIN",0.02,27400,68100,14.58,3.75,1.137,1.5,19,0.77,0.155,0.001,1390,7500,1.06,0.026,0.005017,11.3,51.3,19.9,0.85,0.0005,45700,44300,6.34,0.03,770,19200,2.32,14.9,29.6,11.33,9090,11200,1.86,246,300,0.04,0.4,60,17100,2.31,33.2,0.005789,387,390,0.09,6.7,1.268,5.3,0.002,0.25,215,0.062,4.1,0.562,165,280800,60.09,13.702,19.1,0.01,12,1380,3950,0.66,44.7,5.8,60.3
28,579500,7650000,110,"RUS","FLAT",18,20,"PLAIN",0.012,25400,70400,15.08,0.6,0.74,1.5,32,0.33,0.025,0.001,1420,21400,3,0.02,0.010398,5.4,28.1,23.6,0.53,0.0005,25700,50600,7.24,0.03,450,10300,1.25,10,8.2,6.59,2810,12700,2.11,83.5,610,0.08,0.4,180,17000,2.3,14,0.0005,570,520,0.12,3.86,1.346,5.4,0.002,1.003,170,0.011,3.1,0.146,166,289300,61.91,6.036,5.3,0.015,8,944,3650,0.61,46.1,3.1,34.8
31,729575,7460000,100,"RUS","S",70,1,"PLAIN",0.004,6230,63000,13.48,0.27,,1.5,19.9,0.13,0.019,0.001,1220,22400,3.14,0.02,0.001,2.9,13.5,8.3,0.42,0.0005,5610,16900,2.42,0.03,430,12300,1.49,7.3,7.7,1.49,1630,7100,1.18,59.8,300,0.04,0.1,100,27200,3.67,11.6,0.0005,245,210,0.05,1.5,,5.4,0.002,,43,0.005,0.8,0.036,225,337600,72.24,11.591,6.2,0.006,1.5,325,1190,0.2,10.8,0.9,17.8
32,626978,7710000,80,"RUS","SE",23,52,"RIDGE",0.013,12900,60200,12.9,1.82,0.622,1.5,20.9,0.19,0.018,0.001,2320,23600,3.31,0.035,0.003903,12.2,33,21.7,1.5,0.0005,32100,49700,7.11,0.03,480,8200,0.99,4,6.3,3.77,5140,12000,2,291,690,0.09,0.7,90,21700,2.93,42,0.005421,336,390,0.09,1.64,1.082,4.9,0.002,1.941,173,0.012,2.9,0.124,235,309700,66.28,67.478,7.8,0.021,4,1810,4550,0.76,59.1,3.2,35.3
33,649400,7730000,200,"NOR","E",17,20,"RIDGE",0.01,11400,63000,13.5,1.46,0.303,1.5,8.8,0.14,0.026,0.001,1940,25000,3.51,0.013,0.003502,4.4,32.6,8.7,1.01,0.0005,24600,46600,6.67,0.03,320,9700,1.18,7.2,3.4,4.81,2840,11600,1.94,138,610,0.08,0.3,120,24300,3.28,10,0.001825,406,430,0.1,3.08,0.722,4.9,0.002,1.606,202,0.02,2.7,0.28,186,300700,64.34,23.992,7.3,0.011,5,1370,4490,0.75,44.3,3.3,16.7
34,454319,7580000,275,"FIN","NE",24,51,"FLA PLAIN",0.01,13300,109500,23.43,1.34,0.503,1.5,18.2,0.25,0.038,0.001,1710,17200,2.42,0.013,0.003359,5.2,52.3,12.7,0.76,0.0005,24400,46400,6.64,0.03,680,25900,3.13,6.5,5.2,4.73,2960,8900,1.48,86.7,1310,0.17,0.3,170,26400,3.57,18.4,0.0005,207,740,0.17,2.76,0.359,5,0.002,1.274,116,0.018,2.8,0.122,157,245300,52.49,13.267,5.3,0.004,5,960,7550,1.26,43.1,4.4,21.2
35,768134,7540000,170,"RUS","W",15,20,"PLAIN",0.021,78000,48900,10.47,2.53,0.148,1.5,169,2.98,0.057,0.001,1950,20300,2.85,0.045,0.005695,5,42.7,10.3,1.02,0.0005,18700,39800,5.7,0.03,1220,14200,1.72,26.8,17.2,19.2,3070,12500,2.08,187,460,0.06,2.9,1030,17500,2.37,27.5,0.0005,581,170,0.04,6.47,2.468,5.7,0.002,0.79,334,0.042,1.4,0.215,217,256700,54.93,18.133,321,0.0015,17,1800,2870,0.48,38,6.8,151
36,487156,7770000,280,"NOR","W",19,32,"RIDGE",0.01,18800,67400,14.43,0.35,0.616,1.5,29.8,0.21,0.02,0.001,1070,12800,1.8,0.027,0.0051,5.8,32.4,16.4,0.66,0.0005,20800,56100,8.03,0.03,430,12600,1.52,11.9,9.3,7.31,3240,16500,2.75,78.4,610,0.08,0.4,130,11300,1.53,22.3,0.001288,405,430,0.1,4.84,0.745,5.3,0.002,1.114,142,0.012,2.7,0.223,195,289800,62.02,10.373,7.8,0.009,7,509,4490,0.75,36.2,3.7,42.1
37,677976,7640000,200,"RUS","E",28,22,"RIDGE",0.014,24500,76300,16.34,0.34,0.343,1.5,55.5,0.28,0.017,0.001,2210,29200,4.09,0.021,0.004363,6,49.5,16.8,0.56,0.0005,25700,52300,7.48,0.03,710,9200,1.12,13.3,8.1,7.88,3990,16100,2.67,105,690,0.09,0.1,230,20900,2.82,18.9,0.002874,876,870,0.2,3.21,0.595,5.4,0.002,2.428,182,0.005,3.6,0.227,178,258500,55.31,14.718,9.1,0.005,5,1080,4490,0.75,52.7,5.1,31.3
38,439125,7530000,240,"FIN","W",12,51,"PLAIN",0.165,32600,65500,14.02,11.9,2.056,1.5,40,0.42,0.0025,0.001,2130,13500,1.9,0.1,0.009536,20.9,73.2,47.1,0.99,0.0005,56800,61800,8.85,0.03,770,14500,1.75,10.9,24.4,8.8,12800,17000,2.83,536,770,0.1,0.6,150,17900,2.42,38.7,0.0005,633,650,0.15,6.53,0.187,5.1,0.002,0.25,130,0.182,10.2,0.183,127,271300,58.06,11.748,10.8,0.024,10,2390,5810,0.97,134,4.9,82.1
39,749247,7540000,170,"RUS","S",30,6,"LOWMO",0.017,12500,66000,14.13,0.33,0.693,1.5,42,0.13,0.028,0.001,3480,37300,5.22,0.022,0.002645,7.5,39,33.3,0.61,0.0005,16600,47900,6.86,0.03,1010,9800,1.19,5.4,6.4,3.42,4610,22700,3.77,129,770,0.1,0.1,380,22500,3.04,36.7,0.003034,254,340,0.08,1.67,3.65,5.6,0.002,2.158,70,0.005,2.3,0.097,114,286100,61.22,7.953,11.1,0.013,1.5,896,3830,0.64,35.2,2.5,22.1
40,458010,7740000,310,"NOR","NW",19,32,"SLOPE",0.023,31500,65800,14.09,0.46,0.65,1.5,38.3,0.35,0.015,0.001,1200,15800,2.22,0.028,0.00906,7.7,46.2,12.6,0.85,0.0005,23500,46900,6.71,0.06,570,11500,1.39,8.8,9.1,14.3,3370,15200,2.53,59.6,540,0.07,0.2,170,12600,1.7,24.7,0.003059,458,390,0.09,4.2,0.515,5.2,0.002,2.235,277,0.005,3,0.358,188,262500,56.18,7.832,5.3,0.017,4,786,3710,0.62,52.3,3.8,28.1
41,520242,7560000,260,"FIN","S",,7,"FLA PLAIN",0.012,19400,58600,12.54,1.66,0.438,1.5,29.7,0.27,0.057,0.001,440,6100,0.86,0.01,0.003384,4.1,30.3,6.7,1.13,0.0005,30100,28100,4.02,0.03,790,32600,3.93,9.2,7.3,4.81,2060,4200,0.71,81.3,230,0.03,0.5,80,15200,2.05,12,0.003954,210,170,0.04,5.27,1.026,4.8,0.002,1.303,103,0.029,2.3,0.166,236,324500,69.43,10.624,4.1,0.022,8,1100,2750,0.46,53.1,2,21.5
42,586431,7750000,90,"NOR","FLAT",25,20,"LOWMO",0.009,13300,62600,13.4,0.42,0.742,1.5,9.5,0.26,0.058,0.001,2220,21500,3.01,0.018,0.003309,7.1,53.8,20.6,0.57,0.0005,27100,42900,6.14,0.03,400,15400,1.86,8.3,13.8,3.72,6160,12700,2.11,163,540,0.07,0.3,140,24100,3.26,32.5,0.0005,248,260,0.06,2.36,0.859,5.2,0.002,1.75,91,0.005,2.2,0.128,148,306000,65.47,9.079,17.5,0.011,6,1580,4010,0.67,49.6,2.3,29.8
43,655692,7670000,250,"RUS","SE",17,52,"RIDGE",0.02,18500,66200,14.18,0.89,0.895,1.5,22.4,0.19,0.022,0.001,1190,21800,3.06,0.015,0.005765,3.9,31.3,6.2,0.79,0.0005,28100,51100,7.32,0.03,390,9200,1.11,10.3,3.7,7.08,2150,11900,1.98,73,610,0.08,0.5,150,18000,2.43,10,0.0005,424,390,0.09,3.66,0.541,5.1,0.002,1.194,247,0.005,2.5,0.225,137,287500,61.52,14.218,5.8,0.016,7,1080,4970,0.83,52.8,3,17.9
46,512345,7720000,255,"FIN","W",12,20,"PLAIN",0.011,22000,67900,14.54,0.61,0.635,1.5,37.4,0.28,0.014,0.001,1590,18200,2.56,0.027,0.003794,3.9,20.6,5.9,0.7,0.0005,17400,36200,5.18,0.03,400,11200,1.36,9.4,4.7,7.7,2580,10300,1.72,66.9,460,0.06,0.1,210,17100,2.31,10.2,0.003195,365,430,0.1,3.31,0.845,5.3,0.002,1.95,218,0.005,2.9,0.224,128,300000,64.19,13.613,9.7,0.013,4,620,2810,0.47,33.3,3.8,16.2
47,600600,7820000,220,"NOR","N",25,9,"DEEPVAL",0.012,17700,65500,14.02,5.25,0.75,3,115,1,0.165,0.001,290,1700,0.25,0.042,0.009847,14.8,23,18.9,0.67,0.0005,31900,35500,5.09,0.03,2100,31100,3.75,18.1,18.7,5.01,4200,7800,1.31,582,610,0.08,0.4,60,5100,0.7,18,0.0005,264,300,0.07,13.1,0.772,5.4,0.002,0.931,61,0.113,3.9,0.151,196,317800,68.01,7.065,15.3,0.017,11,304,5450,0.91,30.8,9.3,56.8
48,486256,7630000,225,"FIN","E",30,31,"PLAIN",0.02,18500,68100,14.57,0.45,0.969,1.5,55.1,0.38,0.022,0.001,480,12000,1.68,0.013,0.003187,6.4,35.9,10.5,0.84,0.0005,30800,52100,7.45,0.03,1040,16200,1.96,14.7,7.6,5.21,3550,12100,2.02,86.9,540,0.07,0.9,90,12600,1.7,19.9,0.0005,160,260,0.06,4.18,0.418,5,0.002,0.987,158,0.005,2.6,0.08,147,293900,62.88,19.885,3.8,0.023,9,1510,4550,0.76,68.4,3,35.5
49,418233,7570000,340,"FIN","N",31,1,"FLA PLAIN",0.006,11100,55300,11.84,0.47,0.179,1.5,12.1,0.19,0.015,0.001,870,13500,1.89,0.016,0.002193,1.6,19.7,3.2,0.5,0.0005,8100,14100,2.03,0.03,290,21000,2.54,7.9,2.8,4.3,860,5000,0.84,29.7,230,0.03,0.1,70,22200,3,5.2,0.0005,275,210,0.05,1.81,0.56,5.3,0.002,1.126,87,0.005,1.6,0.086,209,333500,71.36,6.049,4.6,0.004,4,324,1010,0.17,14,2,5.9
50,586800,7670000,75,"NOR","SW",9,20,"RIDGE",0.031,16500,66300,14.2,0.68,1.038,1.5,28.8,0.24,0.077,0.001,1880,25000,3.51,0.023,0.004927,6.2,35.6,16.4,1.07,0.0005,34700,57500,8.23,0.03,590,10700,1.3,7.4,9.6,7.25,4200,14400,2.4,173,690,0.09,0.5,190,20400,2.76,14.4,0.0005,871,780,0.18,6.13,1.033,5.1,0.002,1.977,124,0.005,2.8,0.106,142,282200,60.39,15.253,6.6,0.016,7,1540,4490,0.75,80.5,2.6,36.8
51,461916,7420000,180,"FIN","E",19,7,"RIDGE",0.011,15400,59800,12.8,0.96,0.563,1.5,21,0.37,0.029,0.001,820,11500,1.62,0.023,0.003723,3.7,25.3,2.9,0.72,0.0005,16400,21400,3.07,0.03,360,21600,2.61,12.2,4.8,5.68,1470,4100,0.69,101,230,0.03,0.1,80,21500,2.91,8.2,0.0005,582,520,0.12,4.97,0.795,5.3,0.002,1.351,118,0.014,1.5,0.071,129,323500,69.23,11.979,3.7,0.008,9,658,2270,0.38,30.9,2.6,20.1
52,383148,7570000,330,"FIN","N",19,1,"PLAIN",0.01,11600,58700,12.58,0.52,0.798,1.5,18.3,0.25,0.032,0.001,1400,22400,3.14,0.019,0.006173,3.9,27.4,7.6,1.01,0.001475,30500,46700,6.69,0.03,640,17100,2.07,10.7,5.1,7.76,2660,11200,1.86,82.9,460,0.06,0.2,150,21900,2.96,8.1,0.0005,328,390,0.09,3.87,0.273,5,0.002,2.119,164,0.012,2.5,0.093,161,284700,60.92,9.723,7.6,0.008,7,1750,5090,0.85,56.3,3.2,12.5
53,532337,7510000,280,"FIN","NE",24,1,"PLAIN",0.01,17800,54000,11.56,0.9,0.7,1.5,12.4,0.21,0.031,0.001,850,16700,2.35,0.021,0.004559,4.3,62.8,6.9,0.77,0.0005,18400,31900,4.57,0.03,290,13600,1.65,6.1,5.7,6.97,2050,10900,1.82,55.9,380,0.05,0.1,100,17900,2.42,13.8,0.004927,150,170,0.04,3,0.858,5,0.002,1.953,177,0.015,2.9,0.109,141,315200,67.44,12.336,3.2,0.008,5,659,2990,0.5,32.7,2.6,10.9
54,618500,7710000,50,"NOR","FLAT",22,20,"RIDGE",0.033,13700,63500,13.59,1.98,0.355,1.5,11.7,0.2,0.055,0.001,2000,23000,3.22,0.033,0.006612,4.8,19.8,13.8,1.11,0.0005,21200,36000,5.15,0.03,440,9800,1.19,5.3,9.6,8.25,2590,8200,1.36,208,540,0.07,0.1,140,23500,3.17,8,0.0005,1510,1430,0.33,5.23,0.331,5.2,0.002,3.334,118,0.005,1.9,0.096,175,298900,63.95,16.309,8.9,0.015,6,909,2810,0.47,45.5,2,30.5
55,764321,7540000,260,"RUS","N",30,82,"HIMO",0.008,83300,93400,20,1.88,0.111,1.5,221,5.15,0.024,0.001,1250,9200,1.29,0.048,0.008811,4.4,11.3,6.6,0.7,0.0005,10600,28500,4.08,0.03,1650,22400,2.7,82.8,6.2,28.54,1030,3900,0.66,963,1780,0.23,1.6,4330,24200,3.27,9.3,0.00179,548,690,0.16,5.19,1.7,5.4,0.002,2.614,408,0.037,0.9,0.409,154,176400,37.76,11.832,529,0.014,28,1270,4730,0.79,13.3,20.5,103
