"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ac_228","As","Au","Ba","Bi_214","Br","Ca","Ce","Co","Cr","Cs","Cs_137","EC","Eu","Fe","Hf","Hg","K_40","La","LOI","Lu","Mo","Na","Nd","Ni","pH","Rb","Sb","Sc","Sm","Sr","Tb","Th","U","W","Yb","Zn"
11,489804,7650000,180,"RUS","NW",25,20,40.5,0.25,0.002,540,11.7,4.6,5000,55,9,100,0.5,38.5,18.1,0.9,37900,7,0.5,389.4,29,17.5,0.44,0.5,14100,21,10,4.5,35,0.05,16,4,250,0.25,8.6,1.5,0.5,2.8,25
12,718237,7620000,240,"FIN","SW",40,7,6,0.25,0.001,470,1.8,5.9,20000,18,8,140,0.5,54,19.3,0.7,20900,7,0.5,253.1,9,20.2,0.2,0.5,24800,8,10,4.6,34,0.05,8.9,1.9,250,0.25,1.1,1,0.5,1.4,66
13,427280,7490000,100,"NOR","NW",32,52,8.4,1.8,0.001,390,7.6,2.1,5000,15,3,54,0.5,25.4,26.1,0.4,12400,4,0.5,296.3,8.5,20.9,0.16,0.5,16700,2.5,10,4.4,53,0.05,5.6,1.2,250,0.25,3.3,1.2,0.5,0.9,25
16,597300,7700000,170,"RUS","FLAT",31,21,4.5,0.25,0.001,350,2.5,2.7,30000,13,6,46,0.5,14.6,12.1,0.5,20300,3,0.5,268.4,6.9,6.67,0.19,0.5,21500,2.5,10,4.6,29,0.05,9.5,1.2,250,0.25,1.7,0.25,0.5,1,25
17,667085,7680000,280,"FIN","N",42,1,14.5,0.9,0.001,440,5.8,4.1,5000,37,5,49,0.5,34.2,22.5,0.7,18000,8,0.5,195,18,29.2,0.27,0.5,17900,10,10,4.5,28,0.05,7.5,2.1,250,0.25,4.7,1.4,0.5,1.6,25
18,594611,7550000,280,"FIN","S",30,31,7.4,0.25,0.001,250,3.8,2.8,5000,12,8,110,0.5,41.3,18.1,0.4,16400,10,0.5,90.2,6.9,13,0.17,0.5,23800,2.5,10,4.4,7.5,0.05,5.8,1.2,250,0.25,1.6,0.25,0.5,0.8,96
19,514744,7580000,210,"RUS","SE",35,1,60.9,0.9,0.001,680,11.6,5,5000,82,7,95,0.5,26.3,16.1,1.2,44900,8,0.5,510.7,44,9.99,0.58,0.5,6300,34,10,4.6,40,0.05,16,5.6,250,0.9,13,0.25,0.5,3.6,86
20,710133,7570000,280,"NOR","W",23,1,3.6,0.25,0.001,710,4.5,2.9,30000,11,7,74,0.5,18.3,15.7,0.5,21300,6,0.5,351.9,5.6,6.67,0.17,0.5,29900,2.5,10,4.7,7.5,0.05,7,1.3,250,0.25,1.2,1.2,0.5,1.1,25
21,439900,7650000,100,"RUS","FLAT",44,21,8.5,0.25,0.001,570,6.1,5.3,30000,24,10,110,0.5,39.3,18.3,1,33500,6,0.5,251.9,12,13.9,0.23,0.5,26100,13,10,4.5,7.5,0.05,15,2.7,250,0.25,2.2,0.25,0.5,1.3,51
23,787098,7500000,140,"RUS","FLAT",45,1,4.3,1.6,0.001,380,7,5.2,20000,19,6,95,0.5,58.4,23.2,0.4,12800,5,0.5,310,9.4,7.42,0.16,0.5,19500,8,65,4.6,45,0.3,5.7,1.3,250,0.25,0.7,0.25,0.5,0.8,25
24,624400,7540000,160,"RUS","FLAT",41,51,10.4,0.25,0.001,420,6.5,2.7,20000,10,6,95,0.5,31,13.3,0.5,17400,4,0.5,352,6.5,27.8,0.14,0.5,22800,2.5,10,4.7,44,0.05,6.4,1,250,0.25,2.2,1.1,0.5,0.8,52
25,627700,7480000,280,"RUS","FLAT",,1,10,0.9,0.001,240,6.5,2.6,5000,12,6,100,0.5,23.5,12.5,0.3,16500,4,0.5,179.4,6.5,8.81,0.17,0.5,12800,2.5,10,4.8,28,0.1,5.4,1,250,0.25,1.7,0.9,0.5,1.1,125
26,386646,7540000,300,"FIN","S",36,1,14,0.25,0.001,410,5.7,5.8,20000,26,6,44,0.5,31.1,23.1,0.8,24800,6,0.5,264,14,24.1,0.25,0.5,19300,12,10,4.5,42,0.2,9.4,2.4,250,0.25,3.8,0.25,0.5,1.3,25
27,713892,7740000,160,"RUS","SW",30,9,1.6,0.25,0.001,260,0.1,83,5000,6,2,2.5,0.5,76.4,48.1,0.1,2900,0.5,0.5,36.1,1.9,94.8,0.025,0.5,1300,2.5,10,4.2,7.5,0.05,0.9,0.3,250,0.25,0.1,0.25,0.5,0.1,25
28,579500,7650000,110,"RUS","FLAT",32,20,23.7,0.25,0.002,310,5.7,3.8,10000,34,9,76,0.5,30.6,25.6,0.7,34100,6,0.5,265.9,17,18.3,0.34,0.5,14100,12,10,4.2,18,0.05,13,2.7,250,0.25,4.9,0.25,0.5,2,25
31,729575,7460000,,,,,,0.8,0.25,0.001,300,1.8,1.6,20000,5,4,43,0.5,13.4,16.1,0.3,9400,2,0.5,186.1,3.5,8.65,0.07,0.5,24400,2.5,55,4.7,29,2.3,4.2,0.5,250,0.25,0.5,0.25,0.5,0.4,25
34,454319,7580000,275,"FIN","NE",45,51,12.8,1.4,0.001,480,8.5,4.3,20000,12,10,120,1,23.9,16.7,0.6,30200,8,0.5,479.6,6.4,10.1,0.36,0.5,20900,9,10,4.5,69,0.05,11,1.4,250,0.25,3.1,0.25,0.5,2.1,25
35,768134,7540000,170,"RUS","W",35,20,16.5,3.4,0.001,760,11,4.8,5000,72,6,53,2,90.8,38.5,1.4,27500,11,0.5,476.4,34,36.7,0.19,12,22300,27,10,4.4,90,0.6,5,4.5,250,0.25,5.4,1.3,4,1.4,25
36,487156,7770000,280,"NOR","W",39,32,29.6,0.8,0.003,610,7.8,5.6,5000,49,9,110,0.5,26.7,10.7,1,48000,7,0.5,373.7,29,8.83,0.57,0.5,9400,20,10,4.8,38,0.05,18,3.7,250,0.7,7.5,0.25,0.5,3.6,82
37,677976,7640000,200,"RUS","E",43,22,12.3,0.25,0.001,440,5.1,5.5,5000,21,6,64,0.5,71.7,42,0.7,20700,5,0.5,161.8,12,57.4,0.18,0.5,12500,9,10,4.2,43,0.3,7.9,1.6,250,0.25,2.8,0.25,0.5,1.3,25
40,458010,7740000,310,"NOR","NW",61,32,18.4,0.25,0.001,490,4.2,13,10000,40,12,130,0.5,36.1,14.3,0.9,42400,5,0.5,339.1,22,16.7,0.38,0.5,12700,12,10,4.8,40,0.3,15,3,250,0.25,5.9,1.4,0.5,2.6,114
41,520242,7560000,260,"FIN","S",,7,11.7,0.25,0.005,430,4.9,5,5000,13,2,2.5,0.5,34.9,32.3,0.3,3100,2,0.5,670.2,8.3,25.3,0.05,0.5,6300,2.5,10,4.2,77,0.2,1,0.6,250,0.25,2,0.25,0.5,0.4,25
43,655692,7670000,250,"RUS","SE",32,52,20.9,0.25,0.003,350,5.2,1.8,5000,50,6,66,0.5,33.2,14.1,0.9,25700,10,0.5,196.6,27,13.7,0.37,0.5,16400,21,10,4.7,29,0.05,11,3.4,250,1,7.7,0.25,0.5,2,25
46,512345,7720000,255,"FIN","W",30,20,20.8,0.25,0.001,470,6.4,3.2,20000,37,5,65,0.5,28.5,17.3,0.7,26400,7,0.5,305,19,10.6,0.35,0.5,13000,15,10,4.5,22,0.05,11,2.6,250,0.25,5.1,0.25,0.5,2.1,25
47,600600,7820000,220,"NOR","N",42,9,10.6,1.8,0.001,25,6.5,32,5000,18,5,2.5,0.5,205,67.8,0.3,6900,2,0.5,243.3,8.5,79.1,0.13,0.5,1600,2.5,10,4,28,0.05,2.5,1.2,250,0.25,2.1,0.25,0.5,0.6,66
48,486256,7630000,225,"FIN","E",55,31,36,0.25,0.004,630,6.5,3.1,10000,63,6,79,1,30.4,28,0.9,30600,7,0.5,277.3,33,20.2,0.51,0.5,9500,25,10,4.2,41,0.05,12,4,250,0.25,10,1.3,0.5,3,89
49,418233,7570000,340,"FIN","N",41,1,9.7,0.25,0.001,530,5.9,2,5000,12,3,31,0.5,21.3,14.9,0.3,6300,4,0.5,626.6,7.7,15.4,0.06,0.5,15900,2.5,10,4.5,79,0.05,2.4,0.8,250,0.25,3.9,0.25,0.5,0.5,25
50,586800,7670000,75,"NOR","SW",15,20,18.3,0.25,0.001,510,6.1,2.9,20000,28,9,65,0.5,31.9,15.4,0.7,31200,6,0.5,324.2,15,14.6,0.25,0.5,21000,10,10,4.5,29,0.05,12,2.3,250,0.25,4.4,0.25,0.5,1.7,25
52,383148,7570000,330,"FIN","N",41,1,15.6,0.6,0.001,700,16.6,3.5,5000,27,4,51,0.5,27.6,24.9,0.7,19100,12,0.5,517,14,18.3,0.24,0.5,21300,10,10,4.3,39,0.2,7.9,1.9,250,0.25,4.2,2.4,2,1.4,25
55,764321,7540000,260,"RUS","N",40,82,34.5,3.5,0.003,920,27.4,12,20000,120,9,32,2,119,26.3,1.8,31300,17,0.5,561.3,43,39,0.3,0.5,25900,36,10,4.9,66,0.6,3.7,5.3,250,0.25,8.3,3.8,0.5,1.6,119
56,701379,7640000,140,"RUS","SW",30,22,25.2,0.25,0.005,320,12.21,5.7,5000,32,9,130,1,39.5,45.6,0.8,32200,5,0.5,188.5,17,60.1,0.3,0.5,14000,8,10,4.1,27,0.05,12,2.6,250,0.25,4.4,0.25,0.5,1.7,87
57,615100,7690000,110,"RUS","FLAT",60,52,17.3,1.2,0.001,320,4.3,3.5,5000,28,6,48,0.5,33.2,21.7,0.4,21800,4,0.5,165.4,13,14.3,0.29,0.5,16400,9,10,4.4,7.5,0.05,9.2,1.8,250,0.25,4.1,0.25,0.5,1.7,25
58,627200,7820000,180,"NOR","E",42,9,7.8,0.25,0.001,110,0.1,71,5000,8,2,9,0.5,132.8,55.5,0.1,4900,0.5,0.5,157.4,5,90.8,0.1,0.5,1300,2.5,10,4.1,7.5,0.5,2.1,0.6,250,0.25,2,1.1,0.5,0.4,25
61,440300,7840000,,,,,,0.4,0.25,0.004,190,6.2,63,5000,13,3,8,0.5,65.2,56.2,0.4,3300,0.5,0.5,56.5,14,90.2,0.07,0.5,2500,2.5,10,4.5,7.5,0.05,1.7,1.9,250,0.25,0.8,0.25,0.5,0.5,60
62,793978,7660000,180,"RUS","FLAT",41,4,15,0.7,0.001,320,5.7,16,5000,22,2,40,0.5,54.5,18.6,0.4,8600,7,0.5,265.1,12,21.5,0.11,0.5,21900,9,10,4.7,7.5,0.05,3.6,1.4,250,0.25,3.6,0.25,0.5,0.6,25
64,553150,7750000,280,"NOR","FLAT",26,51,15.2,0.8,0.001,350,8.4,4.2,20000,23,7,61,0.5,27.3,14,0.6,29300,7,0.5,293.9,12,11.6,0.28,0.5,20400,10,10,4.6,28,0.05,12,2,250,0.25,3.9,0.25,0.5,1.9,76
65,565873,7640000,165,"FIN","N",38,32,35.4,0.25,0.001,610,6.6,3.2,20000,62,6,60,0.5,15.3,12.4,0.9,27800,6,0.5,312.2,34,14.9,0.36,0.5,10100,19,10,4.6,31,0.05,11,3.8,250,0.25,9.7,0.25,0.5,2.1,25
68,568222,7560000,450,"FIN","W",42,31,30.8,1,0.001,540,6.7,4.6,5000,53,6,78,0.5,70.1,14.5,1,31200,5,0.5,563.7,31,17.1,0.4,0.5,3700,19,10,4.6,50,0.05,11,3.6,250,0.8,8.6,1.1,0.5,2.4,90
69,784063,7540000,510,"RUS","NE",17,82,18.2,2.3,0.001,840,11.2,44,5000,54,5,50,1,74.4,28.5,0.8,18600,6,0.5,373.4,27,59.5,0.12,0.5,8800,18,10,4.8,51,0.3,2.2,2.8,250,0.25,5.2,0.25,0.5,0.7,82
70,573370,7460000,220,"FIN","FLAT",35,1,11.4,0.25,0.001,420,5.4,2.2,10000,29,3,67,0.5,29.4,26.3,0.6,9400,5,0.5,209,15,14.2,0.19,0.5,22300,12,10,4.3,28,0.2,5.2,2.1,250,0.25,4.1,1.3,0.5,1.1,25
72,666137,7730000,20,"RUS","NW",39,21,0.4,1.8,0.004,25,0.1,59,5000,3,8,14,0.5,91.3,75.9,0.1,3300,0.5,0.5,24.2,1.4,95.9,0.025,0.5,1100,2.5,190,4,7.5,0.3,0.7,0.2,250,0.25,0.1,0.25,0.5,0.1,25
73,717990,7610000,240,"RUS","SW",40,20,2.7,0.25,0.001,340,1.8,4.5,20000,14,7,95,0.5,69.2,45.3,0.4,14700,5,0.5,145.6,5.8,26.7,0.18,0.5,21600,8,10,4.3,7.5,0.05,6,1.3,800,0.25,0.8,0.25,0.5,1.1,57
76,482866,7830000,140,"NOR","FLAT",47,10,0.4,0.6,0.001,160,0.1,69,5000,6,3,2.5,0.5,81.7,64.2,0.2,1700,0.5,0.5,33.3,6.9,95.8,0.025,0.5,1000,9,10,4.4,7.5,0.2,0.7,1,250,0.25,0.1,0.25,0.5,0.1,51
77,475510,7700000,350,"FIN","NE",36,31,19.5,0.9,0.001,450,7.7,8.9,5000,37,12,140,1,16.6,10.1,0.8,47300,8,0.5,284.2,21,9.96,0.36,3,14900,16,10,4.9,41,0.2,15,3.1,250,0.6,5.8,0.25,0.5,2.3,83
78,745647,7560000,170,"RUS","FLAT",35,20,15.7,0.25,0.001,390,1.9,8.6,5000,25,15,93,1,15,22.4,0.4,17300,4,0.5,185.3,12,45.5,0.14,0.5,16800,8,370,4.2,27,0.05,7.3,1.4,250,0.25,4.4,1.1,0.5,0.7,25
79,595850,7750000,90,"NOR","FLAT",75,20,3.1,0.6,0.001,260,2.1,13,5000,6,2,10,0.5,58.2,25.2,0.3,6100,4,0.5,233.5,3,47.8,0.05,0.5,17800,2.5,10,4.3,36,0.05,3,0.5,250,0.25,0.8,0.25,0.5,0.4,25
80,587100,7620000,250,"RUS","E",30,31,17.6,0.25,0.001,610,3.3,5.4,5000,49,6,71,1,48.6,30,1.1,24200,7,0.5,263.3,29,17.1,0.34,0.5,11200,19,10,4.3,49,0.05,10,3.2,250,0.25,6.7,0.25,0.5,1.9,25
81,414535,7420000,195,"FIN","W",62,7,5.9,1,0.001,730,1.2,3.2,5000,6,1,2.5,0.5,48.4,30.5,0.2,2700,2,0.5,624.9,3.8,21.8,0.025,0.5,10500,2.5,10,4.1,63,0.2,0.7,0.3,250,0.25,4,0.25,0.5,0.2,50
82,740646,7680000,80,"RUS","NE",39,21,32.6,0.25,0.001,370,10.1,15,10000,56,2,20,0.5,28.4,18.3,0.7,8100,5,0.5,187,28,40.5,0.09,0.5,21400,24,10,4.5,23,0.3,4.1,3.5,250,0.25,11,1.3,0.5,0.7,25
83,470112,7630000,230,"FIN","NW",50,32,12.3,1,0.001,290,0.1,7.4,5000,18,4,24,0.5,54.1,62,0.5,12200,2,0.5,110.2,9.7,82,0.21,0.5,3000,11,10,3.9,7.5,0.2,5.3,1.4,250,0.25,1.7,0.25,0.5,1.5,84
84,618100,7460000,230,"RUS","FLAT",14,1,17.3,1.3,0.006,560,8.1,3.8,10000,32,5,85,1,68.6,17.1,0.6,15300,8,0.5,459.8,17,12,0.19,0.5,25400,14,10,4.7,48,0.05,6.6,2.3,250,0.25,4.5,0.25,0.5,1.1,25
85,594062,7390000,280,"FIN","N",45,52,7.5,1.5,0.001,300,2.8,2.6,10000,14,3,54,0.5,37.2,24.1,0.3,10700,3,0.5,213.9,7.7,25.1,0.1,0.5,13400,2.5,10,4.3,39,0.05,3.3,0.9,250,0.25,2.7,1,0.5,0.7,72
86,743131,7550000,200,"RUS","FLAT",39,20,5.1,12,0.029,240,1.1,16,5000,16,43,140,0.5,13,98.8,0.5,17400,3,0.5,108.6,8.3,55.9,0.14,0.5,10700,9,1300,3.7,7.5,0.7,6.9,1.1,250,0.25,2.5,0.25,0.5,0.6,25
87,765246,7700000,80,"RUS","FLAT",36,4,0.4,0.25,0.001,25,0.1,81,5000,5,2,2.5,0.5,93.1,54.8,0.1,1400,0.5,0.5,14.7,2.3,97.6,0.025,0.5,800,2.5,10,4.1,7.5,0.2,0.5,0.2,250,0.25,0.1,0.25,0.5,0.1,63
88,752213,7650000,230,"RUS","S",19,21,9.5,0.25,0.001,720,4.7,6.8,20000,25,4,72,0.5,18.9,16.6,0.6,13000,8,0.5,238.6,13,14.8,0.15,0.5,24300,9,10,4.6,7.5,0.05,4.3,1.6,250,0.25,3.2,0.25,0.5,0.8,25
91,723588,7390000,40,"RUS","NE",23,1,4.8,0.25,0.001,470,3.7,2.5,20000,17,5,65,0.5,61.1,30.4,0.6,14300,4,0.5,316.8,7.7,20.5,0.09,0.5,26100,9,140,4.5,34,0.2,5.9,1.7,250,0.25,1,0.25,0.5,0.6,101
92,405139,7420000,185,"FIN","E",45,7,30.9,0.25,0.001,980,6.1,2,20000,37,2,29,0.5,67.5,32.6,0.6,15000,8,0.5,593.2,22,23.9,0.13,0.5,20400,10,10,4.1,61,0.3,3,1.7,700,0.25,9,1.3,0.5,0.7,25
93,575650,7770000,75,"NOR","SE",60,20,4.3,0.25,0.001,310,1.1,17,10000,12,5,34,0.5,50.1,62.2,0.3,12500,2,0.5,199.4,4.3,43,0.09,0.5,14000,2.5,10,4,35,0.3,4.9,0.8,250,0.25,1.7,0.25,0.5,0.6,25
94,660935,7480000,260,"RUS","FLAT",48,1,10.7,3.7,0.001,360,6.9,3,20000,19,10,160,2,34,21.2,0.5,27900,6,0.5,236.4,9.4,16,0.18,0.5,20600,2.5,10,4.4,7.5,0.4,11,1.5,250,0.25,2.6,0.25,0.5,1.3,25
95,600000,7580000,360,"RUS","E",45,31,45.2,1.1,0.003,660,8.4,3.6,5000,70,7,110,0.5,77,19.3,1,38000,7,0.5,451.1,38,15.5,0.49,2,5500,27,10,4.5,34,0.3,14,4.6,250,0.25,11,0.9,0.5,3,89
96,776025,7550000,260,"RUS","S",25,20,7.6,1.6,0.001,500,2.1,7.2,5000,35,7,53,0.5,59,72.1,0.7,17200,4,0.5,237.4,16,48,0.16,0.5,14300,10,120,3.8,7.5,0.4,4.8,2.1,250,0.25,3.1,0.25,0.5,0.9,66
97,747622,7660000,,,,,,12.7,0.25,0.001,240,2.1,32,5000,37,7,43,0.5,25.5,30.8,0.6,15200,4,0.5,145.7,21,66,0.2,0.5,14400,17,130,4.5,33,0.4,7.2,2.4,250,0.25,4.8,0.25,0.5,1.4,25
99,494003,7710000,350,"FIN","NE",43,31,12.4,0.25,0.001,460,2.3,6.6,10000,39,7,81,0.5,27.4,14.3,0.9,33200,6,0.5,240.1,23,19.2,0.42,0.5,9400,13,10,4.6,32,0.2,13,2.7,250,0.6,3.8,0.25,0.5,2.5,80
100,824459,7670000,140,"RUS",,40,4,12.1,0.25,0.005,320,3.4,35,5000,17,4,39,0.5,62.7,22.2,0.4,11500,4,0.5,267.8,9.7,56,0.1,0.5,17400,2.5,10,4.4,7.5,0.05,3.5,1.1,500,0.25,2.8,0.25,0.5,0.5,25
101,743511,7540000,260,"RUS","FLAT",27,6,8.8,4.3,0.001,250,4.4,4.7,30000,13,30,300,0.5,37.4,18.9,0.5,47600,4,0.5,222.5,6.9,22.8,0.24,0.5,15200,7,430,4.4,18,0.4,16,1.3,250,0.25,1.7,0.8,0.5,1.2,91
103,766616,7470000,80,"RUS","N",50,32,1.8,0.25,0.001,250,0.1,5.3,5000,5,3,26,0.5,39,31.8,0.1,6900,2,0.5,185.7,2.3,44.6,0.025,0.5,17700,2.5,10,4.2,7.5,0.3,2.8,0.4,250,0.25,0.8,0.25,0.5,0.3,25
106,476610,7590000,300,"FIN","S",60,32,10.2,0.9,0.005,320,2.8,16,5000,24,6,33,0.5,31.4,39.3,0.5,14400,2,0.5,146.4,13,69.9,0.17,0.5,4000,9,10,4.3,29,0.3,6.1,1.7,250,0.25,4,0.25,0.5,1,25
107,713397,7640000,140,"RUS","S",45,22,6.9,0.25,0.001,410,0.1,5.1,5000,20,7,76,0.5,73.6,51.2,0.7,23500,6,0.5,244.2,8.3,28.3,0.25,0.5,18200,2.5,10,4.2,7.5,0.3,8.4,1.7,250,0.25,1.1,0.25,0.5,1.4,25
108,772550,7500000,170,"RUS","NW",48,6,9.2,1.8,0.001,410,6,4.8,20000,30,7,150,0.5,29.7,22.5,0.9,24900,7,0.5,416.4,15,23.7,0.14,0.5,22500,13,10,4.9,45,0.4,6.9,2.1,250,0.25,2.5,0.6,0.5,1.3,25
110,606700,7600000,210,"RUS","W",50,32,18.4,0.25,0.001,560,3.4,3.5,5000,36,9,64,0.5,46.7,42.4,1.1,31200,5,0.5,340.4,19,24.2,0.31,0.5,11700,19,10,4.4,62,0.05,12,2.2,250,0.25,4,1.6,0.5,2.3,113
111,707772,7450000,160,"RUS","S",50,1,5.5,3.8,0.001,100,4.6,11,5000,20,6,30,0.5,38.5,57.5,0.7,8200,0.5,0.5,29,9.4,84.9,0.025,0.5,6000,2.5,10,4.4,7.5,0.6,3.5,1.3,250,0.25,1.1,0.25,0.5,0.1,199
113,798728,7620000,230,"RUS","FLAT",35,20,11.2,0.25,0.006,640,0.1,9.6,5000,26,7,60,0.5,49.8,19.9,0.8,18900,3,0.5,388.2,15,27.6,0.13,0.5,21700,10,10,4.5,7.5,0.3,5.3,1.6,250,0.25,1.6,0.25,0.5,0.7,146
114,524990,7720000,320,"FIN","W",27,20,18.1,1.8,0.004,430,7.3,16,20000,36,7,61,0.5,20,13.2,1,32600,6,0.5,236.5,19,13.7,0.41,0.5,16700,15,10,4.8,7.5,0.05,12,2.6,250,0.25,4.6,0.25,0.5,2.1,137
115,552778,7490000,270,"FIN","SW",38,1,20.3,0.25,0.001,550,4.3,0.25,20000,27,5,44,0.5,40.3,22.8,0.6,11500,5,0.5,441,15,16.2,0.15,0.5,20900,12,10,4.5,58,0.4,3.6,1.8,250,0.7,5.7,0.25,0.5,0.7,132
116,533486,7670000,128,"FIN","FLAT",41,20,5.4,3.3,0.001,680,13.9,5.1,20000,80,8,96,0.5,53.6,36.1,1.2,33300,13,0.5,333.1,43,31,0.43,0.5,11400,40,10,4.1,7.5,0.4,13,5.1,250,0.25,14,1.7,0.5,2.8,162
117,391630,7710000,340,"NOR","FLAT",47,1,7.8,0.25,0.001,630,5.3,4.2,20000,9,4,40,1,23,15.2,0.5,15900,4,0.5,455.1,5.1,11.2,0.11,0.5,23600,6,10,4.6,41,0.05,5.2,0.9,250,0.25,1.3,1.2,0.5,0.8,25
121,552020,7800000,260,"NOR","NE",33,9,13.5,1.9,0.001,25,0.1,19,5000,8,2,8,0.5,139.4,78.2,0.1,3200,1,0.5,103.6,5.3,86.3,0.025,0.5,2100,2.5,10,3.9,32,0.3,1.8,0.7,250,0.25,1.2,0.25,0.5,0.3,78
122,612200,7450000,220,"RUS","FLAT",45,1,2.9,0.25,0.001,410,0.8,1.8,5000,5,1,15,0.5,29.1,-9999,0.1,2500,2,0.5,423,2,21.7,0.025,0.5,10800,2.5,10,-9999,25,0.1,0.9,0.3,250,0.25,0.5,0.25,0.5,0.3,25
123,378650,7400000,175,"FIN","NW",45,7,7.3,0.25,0.004,1000,2.9,0.25,5000,6,2,9,0.5,26.2,17.7,0.3,6400,4,0.5,708.1,4,9.27,0.025,0.5,17800,2.5,10,4.6,68,0.2,1.2,0.4,250,0.25,2.1,0.25,0.5,0.3,25
124,425131,7500000,210,"FIN","E",50,51,9.9,2.8,0.001,460,6.6,2.4,5000,17,4,55,0.5,14.4,22.2,0.5,13400,5,0.5,326.7,8.7,23.6,0.18,0.5,16700,2.5,10,4.4,30,0.4,6.8,1.4,250,0.25,2.9,0.25,0.5,1.1,25
125,606500,7410000,220,"RUS","FLAT",31,52,18.8,0.25,0.001,360,11.5,2.8,5000,25,12,140,0.5,31.8,11.3,0.7,34200,5,0.5,408.8,13,6.35,0.22,4,24500,9,10,5,51,0.2,11,2,250,0.25,3.7,0.25,0.5,1.6,25
126,517200,7870000,40,"NOR","SW",61,10,7.1,0.25,0.001,270,6.8,52,5000,8,2,9,0.5,68.7,54.1,0.1,4200,7,0.5,171.7,2.5,73.3,0.23,0.5,4900,2.5,10,4.3,40,0.05,1.9,0.4,250,0.25,1.2,1.4,0.5,1.1,25
127,575619,7430000,195,"FIN","FLAT",56,52,7.5,1.5,0.001,140,3.3,3.6,5000,7,3,41,0.5,36.6,21.9,0.3,7500,3,0.5,254.1,4.3,28.6,0.1,0.5,11400,9,10,4.4,45,0.2,2.5,0.6,250,0.25,0.9,0.25,0.5,0.5,25
128,499550,7460000,180,"FIN","SW",58,51,6.2,0.25,0.001,500,3.3,2,20000,8,3,47,0.5,52.4,23.4,0.3,9900,3,0.5,336,3.9,20.5,0.13,0.5,13800,2.5,10,4.4,36,0.2,3.9,0.6,250,0.25,1.5,0.25,0.5,0.6,25
