"ID","XCOO","YCOO","ELEV","COUN","*ASP","AoMEAN","HUMNO","HUMTHI","GROUNDVEG","TREELAY","VEG_ZONE","LITO","Ag","Al","Al_AA","As","Au","B","Ba","Ba_AA","Be","Bi","Br","C","Ca","Ca_AA","Cd","Cd_AA","Cl","Co","Co_AA","Cond","Cr","Cr_AA","Cu","Cu_AA","F","Fe","Fe_AA","H","Hg","K","K_AA","La","LOI","Mg","Mg_AA","Mn","Mn_AA","Mo","N","Na","Na_AA","Ni","Ni_AA","NO3","P","P_AA","Pb","Pb_AA","Pd","pH","PO4","Pt","Rb","S","S_AA","Sb","Sc","Se","Si","Si_AA","SO4","Sr","Sr_AA","Th","Ti_AA","Tl","U","V","V_AA","Y","Zn","Zn_AA"
11,489804,7650000,180,"FIN","SE",1.9,5,3,"SHRUBS","PIBI","BOREAL_FOREST",31,0.137,2420,103,0.938,4.57,2.18,103,34.9,0.06,0.126,1,44.3,3790,2150,0.304,0.22,38.82,1.36,0.32,134.8,2.2,0.05,5.69,0.08,39.08,1570,6.8,6.1,0.282,700,634,1.9,88.6,690,415,184,108,0.315,1.1,20,15.2,5.27,0.49,3.1,869,126,18.1,4.2,0.05,3.7,373.26,0.15,3.69,1350,93.5,0.165,0.7,0.4,660,6,99.42,27.7,14,0.354,0.13,0.108,0.061,3.37,0.07,0.8,53.6,19.4
12,718237,7620000,180,"RUS","NW",3,6,3,"MOSS","BIPI","BOREAL_FOREST",20,0.162,1650,49.8,0.979,0.757,1.55,56.7,20.2,0.01,0.144,1,42.8,2840,1640,0.201,0.2,1,2.53,0.41,159.9,3.55,0.08,31.3,0.92,0.5,1500,5.6,6.3,0.183,1100,885,1.8,92.4,690,424,373,238,0.283,1.6,50,34,53.8,3.98,0.5,1160,195,19.2,5.1,7.09,3.9,2,1.5,5.91,1650,134,0.184,0.4,0.4,740,18,1,20.9,11.9,0.158,0.49,0.071,0.046,6.21,0.12,0.7,67.2,31.3
13,427280,7490000,240,"FIN","SW",2.1,5,1.3,"MOSS","BIPI",,7,0.607,1620,49.3,1.15,0.175,2.15,99.7,36.5,0.03,0.288,1,35.9,3460,1940,0.422,0.35,52.98,1.17,0.3,139.9,2.97,0.11,6.93,0.14,41.88,1380,6.6,5.2,0.275,1000,699,1.2,84.8,590,358,456,273,0.283,1,20,19.1,4.05,0.45,3.2,968,158,27.9,7.6,0.05,3.8,474.88,0.15,5.98,1360,107,0.302,0.6,0.4,700,12,126.86,22.6,12,0.348,0.26,0.121,0.101,5.71,0.11,0.7,69.4,30.3
16,597300,7700000,100,"NOR","NW",1.5,8,2,"WHITE_LICHEN","PINE","BOREAL_FOREST",52,0.141,1400,57.3,1.79,0.134,1.81,64.6,21.7,0.01,0.137,1,34.9,2040,948,0.165,0.12,46.3,1.84,0.35,132.7,2.85,0.07,30.1,0.52,47.1,1750,10.9,5,0.246,700,442,1.1,85.3,480,225,130,59.4,0.218,1.2,70,45.7,43.3,4.84,0.5,798,126,18.3,4,0.98,3.6,330.16,0.15,4.92,1480,108,0.166,0.5,0.4,630,5,123.34,19,9.58,0.23,0.2,0.044,0.049,4.37,0.08,0.5,70.8,27.1
17,667085,7680000,170,"RUS","FLAT",2.5,,,"SHRUBS","BIRCH","FOREST_TUNDRA",,0.119,1540,66,2.05,0.273,3.37,73.1,23.6,0.03,0.106,1,43.7,3490,1940,0.264,0.21,66.04,4.85,1.4,124.3,3.16,0.07,47.5,0.93,33.4,2160,13,6.3,0.201,900,761,2,91.7,980,649,182,103,0.345,1.3,50,40.3,100,16.5,0.5,877,135,13.4,3.6,1.43,3.9,351.86,1.18,4.09,1750,108,0.145,0.5,0.4,640,6,147,28.7,16.1,0.368,0.14,0.078,0.065,5.12,0.12,0.8,41,18.7
18,594611,7550000,280,"FIN","N",1.5,5,2.5,"SHRUBS","SPRBI","BOREAL_FOREST",1,0.514,1540,57.5,1.39,0.776,1.57,89.4,32.8,0.02,0.199,1,40.3,1990,1030,0.5,0.35,75.68,1.29,0.25,148.6,4.87,0.07,9.15,0.19,43.92,1290,5.8,5.6,0.191,1100,771,1.2,91,760,446,159,78,0.343,1.3,30,27.5,9.28,0.65,4.06,881,176,28.4,7.2,0.5,3.8,450.98,0.66,5.02,1370,122,0.243,0.3,0.4,600,8,160.58,24.9,13.4,0.187,0.14,0.128,0.046,4.45,0.12,0.4,56.8,22.2
19,514744,7580000,280,"FIN","S",0.2,12,0.3,"SHRUBS","PINE","BOREAL_FOREST",31,0.265,6030,204,1.19,0.492,1.84,127,40.2,0.07,0.174,1,19.2,1180,592,0.257,0.15,60.76,1.53,0.2,96,7.99,0.13,10,0.13,54.3,6390,26,2.8,0.153,1200,480,9.3,53.2,780,154,171,80.4,0.262,0.6,30,16.2,8.78,0.6,3.5,566,57,25.8,6,0.05,3.8,191.04,1.1,9.8,731,71,0.054,1.4,0.4,840,8,110.3,16.2,7.56,1.81,0.28,0.249,0.149,14.3,0.12,2.2,44.9,17.2
20,710133,7570000,210,"RUS","SE",1,,,"BLUEBERRY","BIRCH","BOREAL_FOREST",,0.392,2650,84.4,0.949,0.329,2.07,70.2,23.8,0.04,0.166,1,26.6,2730,1390,0.262,0.2,117.48,2.01,0.26,148.5,6.27,0.16,21.1,0.63,45.88,3740,12.9,3.8,0.175,1300,942,2.4,70.2,910,371,445,230,0.249,1,60,28.2,30.7,1.94,4.74,1140,200,23.4,6,3.14,4,649.08,0.84,10.8,1320,120,0.084,0.6,0.4,700,8,177,20.8,11,0.439,0.36,0.195,0.081,9.75,0.12,1.2,53,22.6
21,439900,7650000,280,"NOR","W",1.5,8,1.5,"WHITE_LICHEN","BIPI","FOREST_TUNDRA",1,0.169,2640,112,0.905,0.121,1.57,83.7,31.9,0.04,0.094,1,32.3,2580,1320,0.168,0.15,21.98,0.75,0.13,94.6,5.82,0.1,4.55,0.03,48.12,2020,10.1,4.7,0.251,700,430,1.7,73.6,670,308,87.5,50.3,0.088,1,50,18.4,3.7,0.32,0.5,789,111,13.9,4.2,0.2,3.9,309.02,1.06,4.33,1150,74.2,0.066,0.8,0.4,650,5,72.38,30.3,14,0.308,0.52,0.053,0.076,7.48,0.09,0.8,23.9,10.7
22,734135,7670000,100,"RUS","FLAT",3,9,2,"SHRUBS","BIRCH","BOREAL_FOREST",21,0.43,2270,98.2,1.12,0.367,2.58,59.6,19.9,0.07,0.122,1,42.1,2900,1530,0.275,0.23,73.74,1.98,0.34,133.1,5.86,0.12,23,0.62,43.96,3730,17.6,5.8,0.269,1100,803,6,86.1,850,468,173,89.8,0.387,1.3,90,53.6,34.2,2.97,3.48,1220,169,19,5.7,2.97,3.9,552.66,1.26,6.47,1640,119,0.17,0.6,0.4,680,10,149.66,44.7,25.3,0.377,0.38,0.094,0.097,16.1,0.25,1.4,40,17.1
23,787098,7500000,140,"RUS","FLAT",4,6,4,"BLUEBERRY","SPRBI","BOREAL_FOREST",1,0.633,2700,94.9,1.6,0.888,2.7,98.6,27.8,0.09,0.198,1,45.3,4600,2670,0.363,0.26,115.88,3.94,0.61,154.6,4.05,0.05,36.9,1.05,33.54,2840,7,5.9,0.272,1300,908,10.6,90.8,740,475,120,63.8,0.561,1.2,60,36.2,70.6,4.71,6.38,1070,156,26.6,7.3,8.95,3.9,449.78,2.79,8.43,1620,140,0.319,0.6,0.4,610,10,204.5,90.5,49.6,0.338,0.16,0.137,0.158,8.66,0.14,2.4,33.1,13.1
24,624400,7540000,160,"RUS","FLAT",1,9,1,"WHITE_LICHEN","PIBI","BOREAL_FOREST",51,0.453,2770,94.8,0.791,1.05,2.45,82.2,24,0.04,0.134,1,27.4,2390,1120,0.241,0.15,54.08,0.87,0.13,107,6.91,0.12,8.31,0.1,18.04,1840,8.5,3.7,0.202,700,481,1.3,65.4,450,151,270,137,0.185,0.9,60,39.6,8.26,0.54,6.74,822,101,18,3.3,0.45,3.7,245.48,0.65,5.79,977,89.3,0.131,0.5,0.4,730,9,98.3,26.9,13,0.289,0.29,0.104,0.155,4.84,0.09,0.9,61.6,21.6
25,627700,7480000,280,"RUS","FLAT",3,7,3,"WHITE_LICHEN","BISPR","BOREAL_FOREST",1,0.136,1740,89.5,0.942,0.256,1.4,61.1,22.4,0.02,0.15,1,29,2360,1260,0.189,0.16,90.66,0.82,0.16,136.9,4.14,0.14,8.39,0.28,52.48,1800,15.8,4.2,0.182,1000,732,1.8,73.4,480,205,256,146,0.21,1,30,21,7.27,0.62,5.34,909,166,23.4,7.3,0.73,3.8,508.34,0.67,7.07,1240,115,0.175,0.5,0.4,680,8,150.78,22.5,12.5,0.32,0.22,0.09,0.072,5.53,0.14,0.6,70.6,32.3
26,386646,7540000,300,"FIN","S",2.2,5,2.8,,,,1,0.222,921,36.2,0.881,0.333,1.35,100,35.4,0.02,0.23,1,48.8,3250,1870,0.321,0.28,78.26,0.91,0.2,164.8,1.56,0.05,7.91,0.21,57.46,1170,7.5,6.6,0.193,900,794,0.8,93.8,680,455,137,87,0.236,1.4,40,25.8,3.44,0.3,4.02,1040,251,18.7,5.2,0.05,3.7,661.82,0.15,8.64,1570,149,0.235,0.4,0.4,460,5,188.2,22.3,12.4,0.165,0.22,0.102,0.077,5.46,0.12,0.4,76.4,33.1
27,713892,7740000,160,"RUS","SW",5,,,"SHRUBS","BIRCH","DWARF_SHRUB_TUNDRA",,0.052,944,15.2,1.06,0.025,3.72,37.4,9.29,0.01,0.093,1,47.4,3870,2030,0.328,0.22,108.7,1.08,0.16,155.5,1.05,0.01,10.2,0.09,30.14,940,3.2,6.3,0.32,600,497,0.9,97.1,1680,1300,32.6,16.4,0.175,1.5,180,170,13.3,0.88,0.5,829,131,12.6,2.5,0.4,4.2,381.9,0.15,1.67,2110,129,0.205,0.3,0.91,440,18,170.1,49,24.7,0.124,0.05,0.041,0.051,2.2,0.04,0.3,61.8,21
28,579500,7650000,110,"RUS","FLAT",2,6,2,"WHITE_LICHEN","PINE","BOREAL_FOREST",20,0.211,1390,60.9,1.12,0.208,1.84,99.6,38.9,0.01,0.147,1,44.8,3230,1770,0.181,0.15,58.96,0.87,0.19,139.9,2.02,0.08,10.4,0.19,34.74,1620,7.7,6,0.222,800,669,1.9,88.9,750,463,134,67.7,0.166,1.1,60,42.5,11.2,1.08,0.5,772,149,19.3,4.1,0.39,3.5,370.24,0.35,5.86,1280,101,0.301,0.6,0.4,640,6,121.42,24.5,14.2,0.533,0.17,0.082,0.06,3.92,0.11,0.6,45.7,16.3
31,729575,7460000,100,"RUS","S",2,12,2,"SHRUBS","PIBI","BOREAL_FOREST",1,0.3,5010,228,1.65,0.799,2.15,145,44.2,0.24,0.331,1,22,2670,1450,0.369,0.25,1,4.5,0.83,99.9,9.32,0.21,25.4,0.7,0.5,6900,62.6,2.8,0.133,900,403,6.8,65.3,970,194,165,76.3,0.351,0.7,100,27.3,35.5,2.64,0.5,560,52.1,51.5,14.4,4.57,4,2,1.54,9.77,581,60.9,0.674,1.2,0.4,630,7,1,37.6,20.6,0.681,0.55,0.169,0.202,15.3,0.35,1.8,57.4,23.6
32,626978,7710000,80,"RUS","SE",1,12,1,"EMPETRUM","BIPI","FOREST_TUNDRA",52,1.08,3620,149,43.5,5.67,3.11,61,2.39,0.08,0.665,1,27.9,1940,482,0.447,0.21,8.66,56.7,10.4,209,109,2.96,2450,607,18.3,30700,2630,4.1,0.763,500,102,3.9,62.5,3200,139,108,27.4,4.78,1,150,17.4,1220,429,4.84,847,79.1,26,5.1,125,3.5,2,35.7,3.21,3320,592,0.044,2.2,7.38,750,25,1222.3,14.4,3.62,0.902,1.21,0.12,0.264,35.9,1.04,2.3,32.8,7.29
33,649400,7730000,200,"NOR","E",3,5,3,"SHRUBS","BIRCH","FOREST_TUNDRA",20,0.095,1460,56.6,3.08,1.13,2.29,58,20.2,0.04,0.177,1,36,3140,1770,0.293,0.22,26.62,5.86,1.67,99.8,6.12,0.09,83.9,2.4,40.78,3150,13,5,0.228,700,488,2.4,81.6,1100,793,64.6,34.5,0.299,1.3,80,67.3,164,28.8,0.5,758,94.3,20.1,5.9,3.69,3.8,179.5,1.83,2.45,1700,88.5,0.134,0.7,0.92,630,4,72.82,35.3,20.1,0.47,0.11,0.055,0.119,9.39,0.14,0.9,37.3,17.6
34,454319,7580000,275,"FIN","NE",3,5,3,"SHRUBS",,"BOREAL_FOREST",51,0.258,3420,241,1.26,0.674,1.13,57.1,18.7,0.1,0.162,1,35.8,2100,1010,0.326,0.23,78.38,1.95,0.5,149.7,4.35,0.13,7.87,0.2,84.32,3800,39.4,5,0.249,900,668,2.4,88.5,700,386,67.7,30.9,0.189,1.1,30,22.6,8.78,0.82,3.92,1080,101,20.4,4.4,1.02,3.6,329.8,1.47,7.72,1470,131,0.104,1,0.4,650,8,192.24,16.1,8.09,0.38,0.26,0.093,0.212,6.32,0.14,1.8,44.8,17.1
35,768134,7540000,170,"RUS","W",5,6,5,"MOSS","SHRUBS",,20,0.243,3320,158,1.83,1.62,2.86,88.1,26.5,0.25,0.175,1,42.8,3870,2180,0.32,0.23,97.6,7.29,0.98,159.3,4.52,0.12,99.7,5.01,47.74,3270,12.1,6,0.244,1400,1090,11.1,88.8,650,352,259,141,2.55,1.4,50,29.2,161,9.19,6.58,1130,142,18.6,4.4,22,4,451.14,4.91,12.9,1580,154,0.159,0.5,0.4,720,9,200.7,217,135,0.679,0.4,0.074,0.304,6.94,0.16,2.4,73.6,30.7
36,487156,7770000,280,"NOR","W",2,5,3,"EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",32,0.031,1940,43.1,0.868,1.84,3.24,85.6,29,0.01,0.099,1,36.3,3410,1780,0.164,0.08,32.4,0.83,0.12,103.5,3.75,0.04,7.72,0.1,41.56,2550,7.9,5.1,0.208,1000,601,2.2,85.6,970,515,94.1,45.2,0.136,1.2,50,40.3,4.3,0.39,0.5,853,133,14.2,3.4,0.42,3.9,387.32,0.37,3.45,1650,92.5,0.122,0.6,0.4,700,4,86.62,37,20.6,0.51,0.09,0.043,0.06,5.84,0.06,0.9,94.2,39.6
37,677976,7640000,200,"RUS","E",4,5,4,"MOSS","BIPI","BOREAL_FOREST",22,0.133,538,18.4,0.694,0.654,2.24,59.4,21.2,0.01,0.143,1,45.7,2650,1620,0.245,0.23,68.78,1.34,0.22,149.3,1.83,0.07,21.1,0.46,42.78,900,4.6,6.6,0.131,1100,885,1,96.7,680,470,300,172,0.21,1.3,30,26,25.8,2.11,4.06,984,247,18.7,5,3.24,3.8,717.72,0.35,4.83,1530,131,0.218,0.2,0.4,590,8,136.52,19.1,11.6,0.114,0.08,0.084,0.041,3.48,0.09,0.3,59.5,27.1
38,439125,7530000,240,"FIN","W",-9999,8,0.75,"MOSS","BISPRPI","BOREAL_FOREST",51,0.95,7250,249,3.17,0.282,3.23,108,37.8,0.18,0.27,1,35.9,3020,1250,0.324,0.22,63.58,5.27,0.77,137.8,17.2,0.27,11.9,0.28,45.64,13300,69.1,5.4,0.22,1200,741,5.3,78.3,2970,355,483,197,0.275,1.5,50,20.1,11.5,0.81,4.68,1460,107,33,8.6,0.19,3.9,218.5,0.76,18.1,1520,138,0.089,3.7,0.4,890,11,136.72,17.7,6.04,1.07,0.8,0.18,0.372,33.7,0.23,3.4,47.5,16.6
39,749247,7540000,170,"RUS","S",5,10,4,"SHRUBS","SPRBI","BOREAL_FOREST",6,1.63,3640,257,14.5,21.4,5.54,140,37.4,0.11,0.753,1,41.3,6840,4000,1.2,0.84,63.04,83.8,11.9,128.7,28.7,0.58,1870,359,65.54,9750,111,5.9,0.347,1100,810,8.5,85.7,1410,572,634,292,3.94,1.4,110,40.7,1790,176,3.96,1260,108,34.1,9.7,404,4.5,222.02,94.3,4.61,1970,133,0.678,1.2,3.86,660,9,199.68,54.4,26.2,0.748,0.19,0.195,0.236,18.5,0.51,2.5,60.7,23.2
40,458010,7740000,310,"NOR","NW",2.5,6,2,"SHRUBS","BIRCH","FOREST_TUNDRA",32,0.109,10300,1320,1.22,0.18,1.91,51.4,12.8,0.15,0.164,1,41.4,1160,485,0.249,0.19,36.88,2.55,0.7,85.3,3.98,0.11,6.07,0.49,50.98,4030,80.2,6.2,0.216,700,508,7.5,90.4,480,179,26.6,10,0.217,1.8,50,37.7,6.9,0.95,0.5,1460,47.7,23.6,4.6,0.11,4.1,16.92,0.78,5.43,2070,140,0.186,1.4,0.4,690,6,108.02,15.1,6.7,0.35,0.3,0.064,0.137,4.59,0.09,3,20.8,7.74
41,520242,7560000,260,"FIN","S",1.8,6,2.5,,,,7,0.151,6370,487,1.6,0.53,1.83,141,41.1,0.48,0.168,1,38.9,1520,790,0.373,0.2,21.38,1.88,0.37,89.3,2.91,0.05,5.69,0.12,35.14,2700,20.5,5,0.169,900,483,12.9,80.1,480,250,35.6,13.1,0.239,1.1,50,35.9,4.09,0.22,4.92,888,45.3,28.4,4.6,0.05,3.8,87.84,1.66,6.79,1200,94.7,0.082,1.1,0.4,720,6,117.14,18.4,8.97,1.89,0.16,0.128,0.813,4.6,0.08,4.4,39.3,11.2
42,586431,7750000,90,"NOR","FLAT",2,7,2,"SHRUBS","BIRCH","FOREST_TUNDRA",20,0.052,769,16.8,1.3,0.121,2.17,84.6,29.1,0.01,0.137,1,47.6,3720,2050,0.255,0.19,64.98,0.79,0.12,103.4,1.35,0.03,11.3,0.15,33.2,920,2.7,6.6,0.276,600,486,0.8,95.1,770,548,102,56.8,0.218,1.6,80,70.2,12.2,0.9,0.5,752,137,18.2,3.9,0.34,3.8,312.68,0.15,3.68,1890,91.6,0.24,0.2,0.4,540,4,76.28,32.1,17.2,0.158,0.09,0.054,0.071,2.86,0.06,0.3,51,18.4
43,655692,7670000,250,"RUS","SE",1.5,7,1.5,"SHRUBS","BIRCH","FOREST_TUNDRA",52,0.112,997,20.8,1.58,0.992,2.01,73.4,25.6,0.01,0.169,1,41.3,3130,1810,0.277,0.21,54.3,2.99,0.62,122.6,3.22,0.06,48.2,0.82,32.76,1700,5.9,5.8,0.209,1000,709,3.1,87.7,830,519,222,130,0.256,1.4,40,35.5,74.3,9.02,0.5,927,184,18,4.6,2.35,3.8,428.16,0.8,4.56,1760,117,0.14,0.4,0.4,690,9,104.38,26.3,14.9,0.718,0.23,0.063,0.074,6.02,0.09,0.6,89,39
46,512345,7720000,255,"FIN","W",1.7,7,1.6,"SHRUBS","BIRCH","FOREST_TUNDRA",20,0.106,4930,275,0.7,0.238,2.07,112,40.7,0.11,0.089,1,36.8,4350,2510,0.183,0.14,44.16,1.5,0.29,95.8,3.64,0.06,5.06,0.05,51.84,4150,28.5,5.2,0.174,700,380,4.4,76.7,900,475,36.9,12.8,0.156,1.4,70,51.1,5.51,0.47,0.5,865,41.3,14,3.4,0.05,4.2,117.18,1.16,4.3,1430,77.1,0.056,1.5,0.4,760,7,106.86,51.7,30.5,0.767,0.26,0.05,0.202,7.43,0.11,2,19.3,7.16
47,600600,7820000,220,"NOR","N",5,5,3,"EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",9,0.09,5030,116,1.19,0.298,7.66,91.1,22,0.15,0.09,1,42.6,2270,1240,0.237,0.18,69.56,2.65,0.7,126.2,3.97,0.06,7.72,0.13,60.16,3530,17.9,6,0.246,2000,756,2.8,89,1570,1000,123,59.1,0.173,1.5,110,95.4,5.66,0.57,0.5,1000,124,15.7,3.3,0.27,3.8,349.26,1.53,8.78,1680,122,0.096,0.9,0.4,830,7,155.56,36,15.9,0.914,0.11,0.107,0.228,7.03,0.08,1.9,37.7,16.5
48,486256,7630000,225,"FIN","E",1.5,8,1.5,"SHRUBS","PIBI","BOREAL_FOREST",31,0.216,3060,150,1.46,0.305,1.9,70.9,23.5,0.1,0.148,1,46.1,2220,1200,0.244,0.18,30.64,2.6,0.65,114,2.58,0.04,6.85,0.08,37.64,2850,11.7,6.4,0.216,800,568,3.6,93.4,730,408,63.9,31.6,0.27,1.4,20,18.1,6.21,0.63,3.52,865,69.3,16.6,3.6,0.19,3.6,217.76,0.5,5.79,1650,123,0.165,0.8,0.4,730,5,141.52,27,14.2,0.834,0.16,0.123,0.103,5.04,0.07,1.3,48.6,19.8
49,418233,7570000,340,"FIN","N",2,5,2.5,,,,1,0.128,855,21.7,1.12,1.46,1.37,108,43.1,0.01,0.25,1,44.3,3160,1860,0.201,0.13,35.92,0.38,0.04,121.1,1.17,0.01,4.52,0.01,52.02,680,1.9,6,0.212,700,516,0.35,92.8,500,345,36.9,19.4,0.186,1.5,5,14.8,4.96,0.37,2.96,832,134,26.1,6.1,0.15,3.5,350.44,0.15,3.85,1600,94.9,0.31,0.3,0.4,660,10,98.92,34.1,20.2,0.118,0.07,0.074,0.056,2.7,0.07,0.2,37.3,13.2
